codigo,adecuacinsanitaria,fadecuacinsanitaria
0,0,1
951,0,1
1000,.9932,5
1010,.9932,5
1020,.99690002,5
1028,0,1
1029,0,1
1040,.99479997,5
1048,.98449999,5
1049,.9041,3
1050,.9982,5
1070,.995,5
1080,.95490003,4
1089,.99790001,5
1109,.90310001,3
1116,0,1
1125,.95859998,4
1139,.88330001,3
1159,0,1
1184,0,1
1200,.90740001,4
1209,0,1
1210,.9993,5
1219,.99620003,5
1239,.94389999,4
1240,.94199997,4
1275,.80110002,3
1276,.96130002,4
1278,.84979999,3
1279,.88419998,3
1285,.90799999,4
1289,.94270003,4
1298,.9501,4
1310,.86519998,3
1320,.88129997,3
1329,0,1
1330,.98689997,5
1340,.94660002,4
1377,.90210003,3
1379,0,1
1389,0,1
1407,.88700002,3
1408,.90069997,3
1419,.92320001,4
1430,.99809998,5
1440,0,1
1460,.9867,5
1480,.99790001,5
1504,0,1
1505,0,1
1506,0,1
1507,0,1
1508,0,1
1509,.87599999,3
1530,.91320002,4
1537,0,1
1538,.92790002,4
1548,.8804,3
1549,.87339997,3
1566,.99159998,5
1567,.8926,3
1569,.94370002,4
1585,0,1
1586,0,1
1587,0,1
1588,.95190001,4
1589,0,1
1590,1,5
1620,.98689997,5
1640,.9817,5
1645,.93229997,4
1720,.99089998,5
1729,.98140001,5
1759,.87589997,3
1788,0,1
1789,.77060002,3
1800,.7403,3
1807,.9598,4
1810,.99659997,5
1830,.55809999,2
1840,.88300002,3
1856,0,1
1857,.81779999,3
1859,.7026,3
1860,.8714,3
1863,0,1
1870,.86220002,3
1900,.9939,5
1904,.96939999,4
1940,0,1
1990,0,1
2000,.96249998,4
2008,0,1
2090,.97350001,4
2099,.9152,4
2120,.95609999,4
2125,.95609999,4
2127,0,1
2128,.99690002,5
2129,.89039999,3
2130,.88150001,3
2140,.87510002,3
2160,.9788,5
2169,0,1
2200,.94559997,4
2230,.94529998,4
2250,.90920001,4
2260,0,1
2300,.861,3
2310,.81720001,3
2320,.9357,4
