codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,dup,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
0,0,,0,,275,5,0,,0,,0,1,1,5,1,1,2
951,0,,1,2,0,,0,,0,,0,1,3,1,1,1,2
1000,0,1,1,2,11,5,1,5,.9932,5,0,1,3,5,5,5,4
1010,0,1,0,1,5,5,0,1,.9932,5,0,1,1,5,1,5,3
1020,0,1,0,1,0,1,0,1,.99690002,5,0,1,1,1,1,5,2
1028,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1029,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1040,0,1,1,2,0,1,0,1,.99479997,5,0,1,3,1,1,5,3
1048,0,1,0,1,0,1,0,1,.98449999,4,0,1,1,1,1,5,2
1049,0,1,0,1,0,1,0,1,.9041,3,0,1,1,1,1,3,2
1050,0,1,0,1,1,4,0,1,.9982,5,0,1,1,4,1,5,3
1070,0,1,0,1,0,1,0,1,.995,5,0,1,1,1,1,5,2
1080,0,1,1,2,12,5,0,1,.95490003,4,0,1,3,5,1,4,3
1089,0,1,0,1,0,1,0,1,.99790001,5,0,1,1,1,1,5,2
1109,0,1,0,1,0,1,0,1,.90310001,3,0,1,1,1,1,3,2
1116,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1125,0,1,0,1,0,1,0,1,.95859998,4,0,1,1,1,1,4,2
1139,0,1,0,1,0,1,0,1,.88330001,2,0,1,1,1,1,3,2
1159,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1184,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1200,0,1,0,1,0,1,0,1,.90740001,3,0,1,1,1,1,4,2
1209,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
1210,0,1,5,4,0,1,0,1,.9993,5,0,1,4,1,1,5,3
1219,0,1,0,1,7,5,0,1,.99620003,5,0,1,1,5,1,5,3
1239,0,1,0,1,0,1,0,1,.94389999,3,0,1,1,1,1,4,2
1240,0,1,0,1,0,1,0,1,.94199997,3,0,1,1,1,1,4,2
1275,0,1,0,1,0,1,0,1,.80110002,1,0,1,1,1,1,3,2
1276,0,1,0,1,0,1,0,1,.96130002,4,0,1,1,1,1,4,2
1278,0,1,0,1,0,1,0,1,.84979999,2,0,1,1,1,1,3,2
1279,0,1,0,1,0,1,0,1,.88419998,2,0,1,1,1,1,3,2
1285,0,1,0,1,0,1,0,1,.90799999,3,0,1,1,1,1,4,2
1289,0,1,0,1,0,1,0,1,.94270003,3,0,1,1,1,1,4,2
1298,0,1,0,1,0,1,0,1,.9501,4,0,1,1,1,1,4,2
