codigo,basureros,reporte_falta_agua,reportesretio,aguaresidual,adecuacinsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
0,0,0,275,0,,1,1,5,1,,0
951,0,1,0,0,,1,4,1,1,,0
1000,0,1,11,1,.9932,1,4,5,5,1,2
1010,0,0,5,0,.9932,1,1,5,1,1,2
1020,0,0,0,0,.9969,1,1,1,1,1,1
1028,0,0,0,0,,1,1,1,1,,0
1029,0,0,0,0,,1,1,1,1,,0
1030,0,0,0,0,.9995000000000001,1,1,1,1,1,1
1030,0,0,0,0,.9995000000000001,1,1,1,1,1,1
1040,0,1,0,0,.9948,1,4,1,1,1,2
1048,0,0,0,0,.9845,1,1,1,1,2,2
1049,0,0,0,0,.9041,1,1,1,1,3,3
1050,0,0,1,0,.9982,1,1,5,1,1,2
1060,0,0,0,0,.9977,1,1,1,1,1,1
1060,0,0,0,0,.9971,1,1,1,1,1,1
1070,0,0,0,0,.995,1,1,1,1,1,1
1080,0,1,12,0,.9549,1,4,5,1,2,3
1089,0,0,0,0,.9979,1,1,1,1,1,1
1090,0,3,0,0,.9968,1,4,1,1,1,2
1090,0,3,0,0,.9968,1,4,1,1,1,2
1090,0,3,0,0,.9968,1,4,1,1,1,2
1100,0,0,0,0,.8577,1,1,1,1,4,4
1100,0,0,0,0,.8577,1,1,1,1,4,4
1109,0,0,0,0,.9031,1,1,1,1,3,3
1110,0,0,0,0,.9209000000000001,1,1,1,1,3,3
1110,0,0,0,0,.9586,1,1,1,1,2,2
1110,0,0,0,0,.9568,1,1,1,1,2,2
1110,0,0,0,0,.8992,1,1,1,1,4,4
1116,0,0,0,0,,1,1,1,1,,0
1120,0,0,0,0,1,1,1,1,1,1,1
1120,0,0,0,0,.9469,1,1,1,1,3,3
1120,0,0,0,0,.9646,1,1,1,1,2,2
1120,0,0,0,0,,1,1,1,1,,0
1120,0,0,0,0,.9928,1,1,1,1,1,1
1125,0,0,0,0,.9586,1,1,1,1,2,2
1130,0,0,0,0,.9534,1,1,1,1,2,2
1130,0,0,0,0,.8713,1,1,1,1,4,4
1130,0,0,0,0,.9534,1,1,1,1,2,2
1130,0,0,0,0,.953,1,1,1,1,2,2
1139,0,0,0,0,.8833,1,1,1,1,4,4
1140,0,0,0,0,.871,1,1,1,1,4,4
1140,0,0,0,0,.9263,1,1,1,1,3,3
1150,0,0,0,0,.9759,1,1,1,1,2,2
1150,0,0,0,0,.9915000000000001,1,1,1,1,1,1
1159,0,0,0,0,,1,1,1,1,,0
1160,0,0,0,0,.9759,1,1,1,1,2,2
1160,0,0,0,0,.9068000000000001,1,1,1,1,3,3
1160,0,0,0,0,.9595,1,1,1,1,2,2
1160,0,0,0,0,.951,1,1,1,1,2,2
1170,0,0,0,0,.9889,1,1,1,1,2,2
1170,0,0,0,0,.9889,1,1,1,1,2,2
1180,0,0,0,0,.924,1,1,1,1,3,3
1180,0,0,0,0,.9373,1,1,1,1,3,3
1180,0,0,0,0,.9993,1,1,1,1,1,1
1184,0,0,0,0,,1,1,1,1,,0
1200,0,0,0,0,.9074,1,1,1,1,3,3
1209,0,0,0,0,,1,1,1,1,,0
1210,0,5,0,0,.9993,1,5,1,1,1,2
1219,0,0,7,0,.9962,1,1,5,1,1,2
1220,0,0,0,0,.9787,1,1,1,1,2,2
1220,0,0,0,0,.9896,1,1,1,1,2,2
1220,0,0,0,0,.9902,1,1,1,1,2,2
1220,0,0,0,0,1,1,1,1,1,1,1
1220,0,0,0,0,.9106,1,1,1,1,3,3
1220,0,0,0,0,.8831,1,1,1,1,4,4
1230,0,0,0,0,.9384,1,1,1,1,3,3
1230,0,0,0,0,.9331,1,1,1,1,3,3
1230,0,0,0,0,.9233,1,1,1,1,3,3
1230,0,0,0,0,.976,1,1,1,1,2,2
1230,0,0,0,0,.9119,1,1,1,1,3,3
1239,0,0,0,0,.9439,1,1,1,1,3,3
1240,0,0,0,0,.942,1,1,1,1,3,3
1250,0,0,0,0,.8656,1,1,1,1,4,4
1250,0,0,0,0,.8527,1,1,1,1,4,4
1250,0,0,0,0,.5265,1,1,1,1,5,5
1250,0,0,0,0,.9122,1,1,1,1,3,3
1250,0,0,0,0,.9096,1,1,1,1,3,3
1259,0,0,0,0,.8837,1,1,1,1,4,4
1259,0,0,0,0,.6756,1,1,1,1,5,5
1260,0,0,0,0,.8142,1,1,1,1,4,4
1260,0,0,0,0,.9498,1,1,1,1,3,3
1260,0,0,0,0,.9635,1,1,1,1,2,2
1260,0,0,0,0,.9457,1,1,1,1,3,3
