codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
0,0,,0,,275,5,0,,1,,1,1,5,1,2,2
951,0,,1,2,0,,0,,1,,1,4,1,1,2,2
1000,0,1,1,2,11,5,1,5,.9932,5,1,4,5,5,2,4
1010,0,1,0,1,5,5,0,1,.9932,5,1,1,5,1,2,2
1020,0,1,0,1,0,1,0,1,.99690002,5,1,1,1,1,2,2
1028,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1029,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1030,0,1,0,1,0,,0,1,.99949998,5,1,1,1,1,2,2
1030,0,1,0,1,0,,0,1,.99949998,5,1,1,1,1,2,2
1040,0,1,1,2,0,1,0,1,.99479997,5,1,4,1,1,2,2
1048,0,1,0,1,0,1,0,1,.98449999,4,1,1,1,1,3,2
1049,0,1,0,1,0,1,0,1,.9041,3,1,1,1,1,4,2
1050,0,1,0,1,1,4,0,1,.9982,5,1,1,5,1,2,2
1060,0,1,0,,0,,0,1,.99769998,5,1,1,1,1,2,2
1060,0,1,0,,0,,0,1,.9971,5,1,1,1,1,2,2
1070,0,1,0,1,0,1,0,1,.995,5,1,1,1,1,2,2
1080,0,1,1,2,12,5,0,1,.95490003,4,1,4,5,1,3,3
1089,0,1,0,1,0,1,0,1,.99790001,5,1,1,1,1,2,2
1090,0,1,3,3,0,,0,1,.99680001,5,1,4,1,1,2,2
1090,0,1,3,3,0,,0,1,.99680001,5,1,4,1,1,2,2
1090,0,1,3,3,0,,0,1,.99680001,5,1,4,1,1,2,2
1100,0,1,0,1,0,,0,1,.85769999,2,1,1,1,1,4,2
1100,0,1,0,1,0,,0,1,.85769999,2,1,1,1,1,4,2
1109,0,1,0,1,0,1,0,1,.90310001,3,1,1,1,1,4,2
1110,0,1,0,,0,,0,1,.89920002,2,1,1,1,1,4,2
1110,0,1,0,,0,,0,1,.95859998,4,1,1,1,1,3,2
1110,0,1,0,,0,,0,1,.95679998,4,1,1,1,1,3,2
1110,0,1,0,,0,,0,1,.92089999,3,1,1,1,1,4,2
1116,0,,0,,0,1,0,,1,,1,1,1,1,2,2
1120,0,1,0,,0,,0,1,1,5,1,1,1,1,2,2
1120,0,1,0,,0,,0,1,.96460003,4,1,1,1,1,3,2
1120,0,1,0,,0,,0,1,.94690001,3,1,1,1,1,3,2
1120,0,1,0,,0,,0,1,.9928,5,1,1,1,1,2,2
1120,0,1,0,,0,,0,1,.9928,5,1,1,1,1,2,2
1125,0,1,0,1,0,1,0,1,.95859998,4,1,1,1,1,3,2
1130,0,1,0,,0,,0,1,.87129998,2,1,1,1,1,4,2
1130,0,1,0,,0,,0,1,.95340002,4,1,1,1,1,3,2
1130,0,1,0,,0,,0,1,.95340002,4,1,1,1,1,3,2
1130,0,1,0,,0,,0,1,.95300001,4,1,1,1,1,3,2
1139,0,1,0,1,0,1,0,1,.88330001,2,1,1,1,1,4,2
1140,0,1,0,,0,,0,1,.87099999,2,1,1,1,1,4,2
1140,0,1,0,,0,,0,1,.92629999,3,1,1,1,1,4,2
1150,0,1,0,,0,,0,1,.97589999,4,1,1,1,1,3,2
