codigo,reporte_falta_agua,freporte_falta_agua
0,0,1
951,1,3
1000,1,3
1010,0,1
1020,0,1
1028,0,1
1029,0,1
1040,1,3
1048,0,1
1049,0,1
1050,0,1
1070,0,1
1080,1,3
1089,0,1
1109,0,1
1116,0,1
1125,0,1
1139,0,1
1159,0,1
1184,0,1
1200,0,1
1209,0,1
1210,5,4
1219,0,1
1239,0,1
1240,0,1
1275,0,1
1276,0,1
1278,0,1
1279,0,1
1285,0,1
1289,0,1
1298,0,1
1310,0,1
1320,2,4
1329,0,1
1330,0,1
1340,1,3
1377,0,1
1379,0,1
1389,0,1
1407,0,1
1408,0,1
1419,0,1
1430,0,1
1440,0,1
1460,0,1
1480,0,1
1504,0,1
1505,0,1
1506,0,1
1507,0,1
1508,0,1
1509,0,1
1530,0,1
1537,0,1
1538,0,1
1548,0,1
1549,0,1
1566,0,1
1567,0,1
1569,0,1
1585,0,1
1586,0,1
1587,0,1
1588,0,1
1589,0,1
1590,0,1
1620,0,1
1640,0,1
1645,0,1
1720,0,1
1729,0,1
1759,0,1
1788,0,1
1789,0,1
1800,504,5
1807,0,1
1810,0,1
1830,647,5
1840,0,1
1856,0,1
1857,0,1
1859,0,1
1860,0,1
1863,0,1
1870,0,1
1900,0,1
1904,0,1
1940,0,1
1990,0,1
2000,5,4
2008,0,1
2090,11,5
2099,3,4
2120,10,5
2125,20,5
2127,0,1
2128,0,1
2129,1,3
2130,0,1
2140,0,1
2160,4,4
2169,0,1
2200,2,4
2230,9,5
2250,8,4
2260,0,1
2300,33,5
2310,9,5
2320,0,1
2330,0,1
2340,0,1
2350,0,1
2360,9,5
2409,0,1
2410,6,4
2419,0,1
2430,0,1
2440,8,4
2459,13,5
2470,3,4
2479,0,1
2480,4,4
2500,0,1
2519,0,1
2520,0,1
2525,0,1
2530,0,1
2540,0,1
2600,1,3
2640,0,1
2650,4,4
2660,0,1
2670,6,4
2680,0,1
2700,13,5
2718,0,1
2719,1,3
2729,0,1
2730,27,5
2739,0,1
2770,0,1
2780,0,1
2790,32,5
2800,25,5
2820,0,1
2850,1,3
2860,9,5
2870,3,4
2900,0,1
2910,3,4
2920,2,4
2930,0,1
2940,0,1
2950,17,5
2960,1,3
2970,0,1
2990,3,4
3000,9,5
3010,5,4
3027,0,1
3028,0,1
3103,19,5
3104,27,5
3109,0,1
3199,1,3
3200,21,5
3219,0,1
3220,0,1
3229,0,1
3230,4,4
3240,13,5
3300,8,4
3303,5,4
3310,19,5
3311,0,1
3313,0,1
3319,1,3
3320,1,3
3330,0,1
3339,0,1
3340,0,1
3410,1,3
3420,1,3
3430,0,1
3440,3,4
3500,10,5
3510,8,4
3520,1,3
3530,0,1
3540,2,4
3550,2,4
3560,0,1
3570,21,5
3580,1,3
3590,1,3
3600,5,4
3610,38,5
3620,0,1
3630,6,4
3640,6,4
3650,1,3
3660,7,4
3700,1,3
3710,1,3
3720,0,1
3730,1,3
3740,6,4
