,codigo_postal,tandeo,normal
1,00951,0,1
2,01000,1,0
3,01040,0,1
4,01060,1,0
5,01080,1,0
6,01090,3,0
7,01120,2,2
8,01150,5,2
9,01210,5,0
10,01260,1,0
11,01299,0,1
12,01320,2,0
13,01340,0,1
14,01420,2,0
15,01470,2,0
16,01619,1,0
17,01700,8,0
18,01740,0,5
19,01790,0,5
20,01800,441,63
21,01820,1,1
22,01830,579,68
23,02000,0,5
24,02010,0,17
25,02020,0,165
26,02040,0,2
27,02050,0,6
28,02060,0,2
29,02070,1,63
30,02080,1,9
31,02090,1,10
32,02099,0,3
33,02100,0,31
34,02110,0,9
35,02120,0,10
36,02125,0,20
37,02129,0,1
38,02150,0,1
39,02160,0,4
40,02200,0,2
41,02230,0,9
42,02240,0,5
43,02250,0,8
44,02300,0,33
45,02310,0,9
46,02360,0,9
47,02400,0,35
48,02410,0,6
49,02420,0,2
50,02440,0,8
51,02450,0,1
52,02459,0,13
53,02460,2,9
54,02470,0,3
55,02480,0,4
56,02490,0,5
57,02600,0,1
58,02630,0,9
59,02650,0,4
60,02670,0,6
61,02700,3,10
62,02710,1,39
63,02719,0,1
64,02720,3,7
65,02730,0,27
66,02750,3,63
67,02760,0,3
68,02790,0,32
69,02800,0,25
70,02810,0,22
71,02850,0,1
72,02860,0,9
73,02870,0,3
74,02910,0,3
75,02920,0,2
76,02950,0,17
77,02960,0,1
78,02980,0,3
79,02990,0,3
80,03000,0,9
81,03010,0,5
82,03020,0,11
83,03023,0,25
84,03100,1,61
85,03103,0,19
86,03104,0,27
87,03199,0,1
88,03200,0,21
89,03230,1,3
90,03240,0,13
91,03300,0,8
92,03303,0,5
93,03310,0,19
94,03319,0,1
95,03320,0,1
96,03400,0,13
97,03410,0,1
98,03420,0,1
99,03440,1,2
100,03500,0,10
101,03510,0,8
102,03520,0,1
103,03540,0,2
104,03550,0,2
105,03570,0,21
106,03580,1,0
107,03590,0,1
108,03600,0,5
109,03610,1,37
110,03630,0,6
111,03640,0,6
112,03650,0,1
113,03660,0,7
114,03700,0,1
115,03710,0,1
116,03730,1,0
117,03740,0,6
118,03810,0,6
119,03820,1,2
120,03910,1,2
121,03920,0,7
122,03930,0,3
123,04000,0,21
124,04020,0,1
125,04040,0,10
126,04100,0,16
127,04110,0,1
128,04120,0,30
129,04200,0,2
130,04230,0,4
131,04250,0,1
132,04260,0,3
133,04300,2,558
134,04307,0,7
135,04310,0,8
136,04320,0,2
137,04330,0,4
138,04350,0,1
139,04360,0,1
140,04369,0,17
141,04370,0,2
142,04380,0,3
143,04390,0,45
144,04400,0,1
145,04410,0,2
146,04440,0,3
147,04460,0,3
148,04470,0,1
149,04480,0,1
150,04489,0,1
151,04490,0,5
152,04500,0,7
153,04530,0,2
154,04600,0,156
155,04620,0,20
156,04630,0,304
157,04640,0,1
158,04650,0,26
159,04700,0,1
160,04710,0,4
161,04719,0,1
162,04730,0,2
163,04800,0,2
164,04815,0,10
165,04830,0,4
166,04840,0,5
167,04870,0,2
168,04899,0,2
169,04909,0,1
170,04910,0,1
171,04918,0,2
172,04920,0,11
173,04921,0,1
174,04938,0,1
175,04980,0,12
176,05000,11,117
177,05009,6,1
178,05010,4,11
179,05020,1,4
180,05030,0,3
181,05050,17,19
182,05100,15,34
183,05110,5,4
184,05118,1,1
185,05119,0,4
186,05120,0,14
187,05129,0,1
188,05130,0,1
189,05200,4,29
190,05219,0,2
191,05240,0,1
192,05260,11,12
193,05269,0,2
194,05270,0,6
195,05280,0,2
196,05310,1,3
197,05320,1,6
198,05330,0,8
199,05348,1,10
200,05370,0,1
201,05379,0,1
202,05400,5,14
203,05410,169,252
204,05500,2,32
205,05520,0,2
206,05530,0,5
207,05600,73,142
208,05610,0,1
209,05620,1,1
210,05700,6,12
211,05710,28,83
212,05730,5,30
213,05750,36,105
214,05760,0,4
215,06000,1,9
216,06010,0,7
217,06200,1,1
218,06220,1,2
219,06240,0,1
220,06270,0,1
221,06300,0,2
222,06400,0,7
223,06430,0,1
224,06450,2,19
225,06470,0,1
226,06500,0,12
227,06600,0,46
228,06700,0,2
229,06720,0,3
230,06820,0,2
231,06900,0,2
232,07000,0,40
233,07010,0,11
234,07020,0,16
235,07040,0,1
236,07050,0,21
237,07058,0,1
238,07059,0,5
239,07060,0,1
240,07070,0,4
241,07080,0,3
242,07089,0,1
243,07090,0,1
244,07100,1,8
245,07109,0,2
246,07119,1,1
247,07130,0,1
248,07140,1,18
249,07150,0,6
250,07160,1,23
251,07164,0,33
252,07170,0,10
253,07180,0,51
254,07183,0,3
255,07187,0,1
256,07188,0,10
257,07189,0,1
258,07190,0,27
259,07199,1,0
260,07200,0,22
261,07207,0,1
262,07209,0,1
263,07210,1,13
264,07214,0,1
265,07220,0,1
266,07230,0,11
267,07240,0,2
268,07250,0,2
269,07268,0,5
270,07279,0,8
271,07280,0,14
272,07290,0,4
273,07300,0,33
274,07310,0,6
275,07320,0,12
276,07329,0,29
277,07330,0,3
278,07340,0,50
279,07349,0,1
280,07350,0,23
281,07359,0,2
282,07360,0,91
283,07363,0,39
284,07369,0,25
285,07370,0,1
286,07380,0,16
287,07400,0,10
288,07420,0,107
289,07440,0,5
290,07450,0,29
291,07455,0,1
292,07456,0,3
293,07458,0,1
294,07459,0,5
295,07460,0,6
296,07469,0,64
297,07480,0,3
298,07500,0,30
299,07509,0,17
300,07510,0,9
301,07520,0,29
302,07530,0,88
303,07540,2,405
304,07548,0,1
305,07550,0,66
306,07560,0,64
307,07570,0,9
308,07580,1,264
309,07600,0,2
310,07620,0,11
311,07630,0,4
312,07640,0,2
313,07660,0,2
314,07670,0,1
315,07700,0,15
316,07707,0,1
317,07730,0,42
318,07750,0,14
319,07754,0,1
320,07760,0,6
321,07770,0,6
322,07790,0,2
323,07800,0,12
324,07810,0,47
325,07820,0,5
326,07830,0,6
327,07840,0,61
328,07850,1,2
329,07858,0,1
330,07859,0,2
331,07860,0,32
332,07869,0,4
333,07870,0,40
334,07880,0,1
335,07890,2,3
336,07900,0,18
337,07910,0,62
338,07918,0,8
339,07919,0,18
340,07920,0,267
341,07940,0,1
342,07950,0,271
343,07959,0,1
344,07960,0,5
345,07969,0,54
346,07970,0,32
347,07979,0,17
348,07980,0,24
349,07990,0,1
350,08009,0,1
351,08020,0,2
352,08040,0,1
353,08100,0,2
354,08189,0,2
355,08230,1,0
356,08310,0,1
357,08500,0,1
358,08620,0,2
359,08650,2,1
360,08730,0,3
361,08910,1,0
362,08930,1,2
363,09000,297,287
364,09009,3,5
365,09010,0,4
366,09020,4,3
367,09030,1,4
368,09040,1,1
369,09060,44,28
370,09070,5,9
371,09080,1,1
372,09089,1,1
373,09090,3,17
374,09099,1,0
375,09100,2,21
376,09110,0,2
377,09130,4,60
378,09140,33,33
379,09150,0,2
380,09160,0,2
381,09180,56,40
382,09200,29,62
383,09208,24,193
384,09209,138,476
385,09210,19,53
386,09219,1,2
387,09220,22,165
388,09227,1,8
389,09228,65,8
390,09229,0,2
391,09230,79,125
392,09233,1,4
393,09239,8,51
394,09240,24,90
395,09249,0,2
396,09250,6,11
397,09260,11,40
398,09270,2,12
399,09280,1,2
400,09290,22,88
401,09300,12,43
402,09310,204,652
403,09319,8,23
404,09320,5,18
405,09330,7,7
406,09350,0,2
407,09360,631,406
408,09369,5,6
409,09400,17,25
410,09410,100,90
411,09420,10,4
412,09429,1,1
413,09430,107,28
414,09437,0,1
415,09438,3,5
416,09440,10,23
417,09450,1,2
418,09470,1,1
419,09479,3,6
420,09480,0,1
421,09500,85,396
422,09510,1298,1032
423,09519,5,0
424,09520,38,202
425,09530,16,12
426,09550,20,65
427,09560,87,90
428,09570,19,233
429,09577,1,5
430,09578,2,90
431,09579,2,2
432,09600,42,33
433,09608,51,57
434,09609,39,6
435,09620,94,60
436,09630,909,400
437,09637,408,89
438,09638,160,60
439,09640,77,111
440,09648,41,66
441,09660,65,313
442,09670,27,39
443,09680,38,16
444,09689,3,2
445,09690,219,121
446,09696,193,128
447,09698,113,91
448,09700,1175,1231
449,09704,307,130
450,09705,4,2
451,09706,4,6
452,09708,366,207
453,09709,2,4
454,09710,0,1
455,09720,19,38
456,09730,12,47
457,09740,76,32
458,09750,679,1546
459,09759,0,3
460,09760,221,147
461,09767,0,3
462,09768,5,4
463,09769,217,152
464,09770,1,1
465,09779,0,1
466,09780,117,184
467,09789,1,1
468,09790,24,24
469,09800,602,434
470,09809,15,12
471,09810,5,11
472,09819,19,12
473,09820,35,38
474,09828,1,4
475,09829,57,48
476,09830,539,510
477,09836,2,4
478,09837,6,2
479,09838,0,1
480,09839,7,6
481,09840,31,22
482,09849,3,5
483,09850,830,606
484,09856,3,7
485,09857,44,28
486,09858,10,4
487,09859,12,12
488,09860,139,138
489,09868,4,11
490,09870,109,82
491,09880,111,136
492,09885,9,17
493,09890,256,216
494,09897,1,6
495,09898,11,3
496,09899,2,1
497,09900,60,79
498,09910,1,2
499,09920,3,0
500,09930,107,73
501,09940,1,1
502,09960,116,184
503,09969,5,0
504,09970,6,22
505,09979,1,0
506,10010,1,0
507,10300,3,1
508,10309,2,2
509,10320,1,0
510,10330,1,0
511,10350,2,1
512,10368,0,1
513,10369,8,0
514,10379,1,0
515,10380,2,0
516,10508,0,1
517,10580,1,0
518,10589,2,2
519,10600,7,0
520,10620,2,0
521,10630,233,4
522,10660,1,0
523,10710,1,0
524,10720,0,1
525,10730,4,0
526,10900,125,25
527,10910,2,0
528,10926,128,6
529,11270,0,2
530,11290,0,1
531,11320,0,8
532,11330,0,1
533,11370,0,1
534,11400,0,1
535,11430,0,4
536,11450,0,1
537,11490,0,1
538,11500,0,1
539,11530,0,2
540,11540,0,1
541,11700,0,1
542,11800,0,1
543,11820,0,1
544,11850,0,2
545,11870,0,1
546,12000,157,0
547,12009,22,0
548,12070,20,0
549,12080,7,0
550,12100,1316,1
551,12110,1,0
552,12200,156,0
553,12250,97,0
554,12300,549,2
555,12400,138,0
556,12410,121,0
557,12500,48,0
558,12600,11,0
559,12700,4,0
560,12800,31,0
561,12910,10,0
562,12920,13,0
563,12930,14,0
564,12940,26,1
565,12950,5,0
566,13000,8,4
567,13009,111,91
568,13010,15,19
569,13020,6,15
570,13030,7,7
571,13040,5,16
572,13050,18,48
573,13060,1,10
574,13063,0,6
575,13070,1,2
576,13080,6,28
577,13090,5,9
578,13099,16,38
579,13100,60,62
580,13110,2,1
581,13120,203,125
582,13123,4,12
583,13150,1,4
584,13180,1,4
585,13200,22,51
586,13209,31,41
587,13210,4,9
588,13219,3,8
589,13220,0,3
590,13229,12,5
591,13230,0,2
592,13250,1,2
593,13270,6,2
594,13273,10,41
595,13278,1,0
596,13280,0,2
597,13300,0,9
598,13310,8,12
599,13315,4,4
600,13316,0,2
601,13317,0,2
602,13318,2,1
603,13319,1,7
604,13360,21,29
605,13363,1,0
606,13400,72,131
607,13410,8,8
608,13419,1,9
609,13420,7,37
610,13429,1,6
611,13430,56,395
612,13440,0,7
613,13450,5,11
614,13460,3,6
615,13520,0,1
616,13530,2,1
617,13540,14,32
618,13545,47,95
619,13549,40,33
620,13559,0,1
621,13600,3,3
622,13610,3,1
623,13625,20,27
624,13630,4,0
625,13640,3,7
626,13700,0,1
627,14000,1,906
628,14009,0,6
629,14010,0,2
630,14020,0,1
631,14030,0,2
632,14039,0,3
633,14040,0,2
634,14050,0,2
635,14070,0,12
636,14080,0,2
637,14090,1,51
638,14100,0,63
639,14108,0,36
640,14110,0,6
641,14129,0,1
642,14130,0,4
643,14149,0,4
644,14150,0,2
645,14160,0,2
646,14200,0,55
647,14209,0,3
648,14219,0,8
649,14220,0,31
650,14230,0,32
651,14239,0,4
652,14240,0,372
653,14248,0,19
654,14250,0,532
655,14260,0,14
656,14267,0,8
657,14270,0,21
658,14273,8,207
659,14275,0,38
660,14276,0,1
661,14300,0,1
662,14309,0,3
663,14310,0,1
664,14320,0,1
665,14325,0,1
666,14326,0,1
667,14328,0,1
668,14329,0,1
669,14334,0,9
670,14340,0,1
671,14350,0,2
672,14356,0,2
673,14358,0,1
674,14360,0,28
675,14370,0,21
676,14376,0,8
677,14377,0,1
678,14380,0,13
679,14388,0,10
680,14389,0,2
681,14390,0,6
682,14400,4,2375
683,14406,0,6
684,14408,0,2
685,14409,0,10
686,14410,0,1
687,14420,0,39
688,14426,0,14
689,14427,0,23
690,14429,0,6
691,14430,0,10
692,14438,0,5
693,14439,0,9
694,14440,0,2
695,14449,0,10
696,14456,0,28
697,14460,0,7
698,14470,0,222
699,14476,0,44
700,14479,0,81
701,14480,0,428
702,14490,8,1940
703,14500,3,4722
704,14520,0,10
705,14529,0,2
706,14550,0,4
707,14600,0,2
708,14609,0,2
709,14610,0,7
710,14620,0,1
711,14629,0,3
712,14639,0,2
713,14643,0,1
714,14646,0,7
715,14647,0,2
716,14650,0,18
717,14654,1,183
718,14655,1,266
719,14657,0,13
720,14658,0,2
721,14700,3,1687
722,14710,1,1266
723,14720,3,170
724,14730,0,92
725,14734,22,935
726,14735,0,897
727,14737,0,11
728,14738,19,208
729,14739,0,62
730,14740,0,51
731,14748,1,158
732,14749,0,18
733,14760,0,138
734,14790,0,8
735,14900,0,494
736,15000,0,2
737,15100,0,1
738,15210,0,1
739,15299,0,1
740,15340,1,0
741,15410,0,1
742,15520,5,3
743,15530,1,0
744,15640,0,2
745,15850,1,0
746,16000,8,1
747,16010,45,6
748,16020,17,0
749,16029,1,0
750,16030,6,1
751,16034,6,1
752,16035,1,0
753,16036,15,2
754,16038,2,0
755,16039,4,0
756,16040,1,0
757,16050,6,0
758,16060,1,2
759,16070,4,1
760,16080,2,1
